+-------------------------------+----------------------------+---------------------------------------------------------------------------------+
| horti_produksi.sayuran | Kentang      |
| horti_produksi.sayuran | Kubis        |
| horti_produksi.sayuran | Petsai       |
| horti_produksi.sayuran | Tomat        |
+------------------------+--------------+
+---------------------+-------------+
| t                   | v           |
+---------------------+-------------+
| horti_produksi.buah | Durian      |
| horti_produksi.buah | Jeruk Besar |
| horti_produksi.buah | Jeruk Siam  |
| horti_produksi.buah | Mangga      |
| horti_produksi.buah | Pepaya      |
| horti_produksi.buah | Pisang      |
| horti_produksi.buah | Salak       |
+---------------------+-------------+
+--------------------+--------------+
| t                  | v            |
+--------------------+--------------+
| horti_luas.sayuran | Bawang Merah |
| horti_luas.sayuran | Bawang Putih |
| horti_luas.sayuran | Cabai Besar  |
| horti_luas.sayuran | Cabai Rawit  |
| horti_luas.sayuran | Kentang      |
| horti_luas.sayuran | Kubis        |
| horti_luas.sayuran | Petsai       |
| horti_luas.sayuran | Tomat        |
+--------------------+--------------+
+--------------------+----------------------+
| t                  | v                    |
+--------------------+----------------------+
| horti_kab.kelompok | sayuran_buah_semusim |
| horti_kab.kelompok | buah_sayuran_tahunan |
| horti_kab.kelompok | tanaman_hias         |
| horti_kab.kelompok | biofarmaka           |
+--------------------+----------------------+
+----------+--------------+
| t        | v            |
+----------+--------------+
| palawija | Jagung       |
| palawija | Kacang Hijau |
| palawija | Kacang Tanah |
| palawija | Kedelai      |
| palawija | Ubi Jalar    |
| palawija | Ubi Kayu     |
+----------+--------------+
+------------------+--------------+
| t                | v            |
+------------------+--------------+
| perkebunan_areal | Kakao        |
| perkebunan_areal | Karet        |
| perkebunan_areal | Kelapa Dalam |
| perkebunan_areal | Kelapa Sawit |
| perkebunan_areal | Kopi Arabica |
| perkebunan_areal | Kopi Robusta |
| perkebunan_areal | Tebu         |
| perkebunan_areal | Teh          |
| perkebunan_areal | Tembakau     |
+------------------+--------------+
+---------------------+--------------+
| t                   | v            |
+---------------------+--------------+
| perkebunan_produksi | Kakao        |
| perkebunan_produksi | Karet        |
| perkebunan_produksi | Kelapa Dalam |
| perkebunan_produksi | Kelapa Sawit |
| perkebunan_produksi | Kopi Robusta |
| perkebunan_produksi | Tebu         |
| perkebunan_produksi | Teh          |
| perkebunan_produksi | Tembakau     |
+---------------------+--------------+
+------------+------+
| t          | v    |
+------------+------+
| padi.tahun | 2018 |
| padi.tahun | 2019 |
| padi.tahun | 2020 |
| padi.tahun | 2021 |
| padi.tahun | 2022 |
| padi.tahun | 2023 |
| padi.tahun | 2024 |
+------------+------+
+---------------+------+
| t             | v    |
+---------------+------+
| lumbung.tahun | 2018 |
| lumbung.tahun | 2019 |
| lumbung.tahun | 2020 |
| lumbung.tahun | 2021 |
| lumbung.tahun | 2022 |
| lumbung.tahun | 2023 |
| lumbung.tahun | 2024 |
+---------------+------+
+---------------------+------+
| t                   | v    |
+---------------------+------+
| kelompok_tani.tahun | 2022 |
| kelompok_tani.tahun | 2023 |
| kelompok_tani.tahun | 2024 |
| kelompok_tani.tahun | 2025 |
| kelompok_tani.tahun | 2026 |
+---------------------+------+
+-----------+------+
| t         | v    |
+-----------+------+
| kth.tahun | 2026 |
+-----------+------+
+------------------+------+
| t                | v    |
+------------------+------+
| lahan_desa.tahun | 2023 |
| lahan_desa.tahun | 2025 |
+------------------+------+
+-----------+-------------------+
| t         | v                 |
+-----------+-------------------+
| kecamatan | Banjarmangu       |
| kecamatan | Banjarnegara      |
| kecamatan | Batur             |
| kecamatan | Bawang            |
| kecamatan | Kalibening        |
| kecamatan | Karangkobar       |
| kecamatan | Madukara          |
| kecamatan | Mandiraja         |
| kecamatan | Pagedongan        |
| kecamatan | Pagentan          |
| kecamatan | Pandanarum        |
| kecamatan | Pejawaran         |
| kecamatan | Punggelan         |
| kecamatan | Purwanegara       |
| kecamatan | Purwareja Klampok |
| kecamatan | Rakit             |
| kecamatan | Sigaluh           |
| kecamatan | Susukan           |
| kecamatan | Wanadadi          |
| kecamatan | Wanayasa          |
+-----------+-------------------+
