Kecamatan,Bawang Merah (ha) 2017,Cabai Besar (ha) 2017,Kentang (ha) 2017,Kubis (ha) 2017,Petsai (ha) 2017,Tomat (ha) 2017,Bawang Putih (ha) 2017,Cabai Rawit (ha) 2017,Bawang Merah (ha) 2018,Cabai Besar (ha) 2018,Kentang (ha) 2018,Kubis (ha) 2018,Petsai (ha) 2018,Tomat (ha) 2018,Bawang Putih (ha) 2018,Cabai Rawit (ha) 2018,Bawang Merah (ha) 2019,Cabai Besar (ha) 2019,Kentang (ha) 2019,Kubis (ha) 2019,Petsai (ha) 2019,Tomat (ha) 2019,Bawang Putih (ha) 2019,Cabai Rawit (ha) 2019,Bawang Merah (ha) 2021,Cabai Besar (ha) 2021,Kentang (ha) 2021,Kubis (ha) 2021,Petsai (ha) 2021,Tomat (ha) 2021,Bawang Putih (ha) 2021,Cabai Rawit (ha) 2021,Bawang Merah (ha) 2023,Cabai Besar (ha) 2023,Kentang (ha) 2023,Kubis (ha) 2023,Petsai (ha) 2023,Tomat (ha) 2023,Bawang Putih (ha) 2023,Cabai Rawit (ha) 2023,Bawang Merah (ha) 2020,Cabai Besar (ha) 2020,Kentang (ha) 2020,Kubis (ha) 2020,Petsai (ha) 2020,Tomat (ha) 2020,Bawang Putih (ha) 2020,Cabai Rawit (ha) 2020,Bawang Merah (ha) 2022,Cabai Besar (ha) 2022,Kentang (ha) 2022,Kubis (ha) 2022,Petsai (ha) 2022,Tomat (ha) 2022,Bawang Putih (ha) 2022,Cabai Rawit (ha) 2022,Bawang Merah (ha) 2024,Cabai Besar (ha) 2024,Kentang (ha) 2024,Kubis (ha) 2024,Petsai (ha) 2024,Tomat (ha) 2024,Bawang Putih (ha) 2024,Cabai Rawit (ha) 2024,Tahun
Purworejo Klampok,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,2022
Purworejo Klampok,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,2023
Purworejo Klampok,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,0,,0,0,0,2,2024
Rakit,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2017
Rakit,,,,,,,,,0,15,0,0,0,0,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018
Rakit,,,,,,,,,,,,,,,,,0,19,0,0,0,0,0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019
Rakit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,14,0,0,1,0,0,14,,,,,,,,,,,,,,,,,2020
Rakit,,,,,,,,,,,,,,,,,,,,,,,,,0,8,0,0,1,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021
Rakit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,6,0,0,0,1,0,0,,,,,,,,,2022
Rakit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0,,,1,0,2,,,,,,,,,,,,,,,,,,,,,,,,,2023
Rakit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,13.5,0,0,0,2,0,10.4,2024
Sigaluh,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2017
Sigaluh,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018
Sigaluh,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019
Sigaluh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,2020
Sigaluh,,,,,,,,,,,,,,,,,,,,,,,,,0,4,0,0,0,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021
Sigaluh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,2022
Sigaluh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,2023
