Kecamatan,Kelapa Sawit (ton) 2017,Karet (ton) 2017,Kopi Robusta (ton) 2017,Kakao (ton) 2017,Tebu (ton) 2017,Teh (ton) 2017,Tembakau (ton) 2017,Kelapa Sawit (ton) 2018,Kelapa Dalam (ton) 2018,Karet (ton) 2018,Kopi Robusta (ton) 2018,Kakao (ton) 2018,Tebu (ton) 2018,Teh (ton) 2018,Tembakau (ton) 2018,Kelapa Sawit (ton) 2019,Kelapa Dalam (ton) 2019,Karet (ton) 2019,Kopi Robusta (ton) 2019,Kakao (ton) 2019,Tebu (ton) 2019,Teh (ton) 2019,Tembakau (ton) 2019,Kelapa Sawit (ton) 2020,Kelapa Dalam (ton) 2020,Karet (ton) 2020,Kopi Robusta (ton) 2020,Kakao (ton) 2020,Tebu (ton) 2020,Teh (ton) 2020,Tembakau (ton) 2020,Kelapa Sawit (ton) 2021,Kelapa Dalam (ton) 2021,Karet (ton) 2021,Kopi Robusta (ton) 2021,Kakao (ton) 2021,Tebu (ton) 2021,Teh (ton) 2021,Tembakau (ton) 2021,Kelapa Sawit (ton) 2022,Kelapa Dalam (ton) 2022,Karet (ton) 2022,Kopi Robusta (ton) 2022,Kakao (ton) 2022,Tebu (ton) 2022,Teh (ton) 2022,Tembakau (ton) 2022,Kelapa Sawit (ton) 2023,Kelapa Dalam (ton) 2023,Karet (ton) 2023,Kopi Robusta (ton) 2023,Kakao (ton) 2023,Tebu (ton) 2023,Teh (ton) 2023,Tembakau (ton) 2023,Kelapa Sawit (ton) 2024,Kelapa Dalam (ton) 2024,Karet (ton) 2024,Kopi Robusta (ton) 2024,Kakao (ton) 2024,Tebu (ton) 2024,Teh (ton) 2024,Tembakau (ton) 2024,Tahun
Punggelan,,,,,,,,,,,,,,,,0,932.6,0,140.52,0.91,17.09,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019
Punggelan,,,,,,,,,,,,,,,,,,,,,,,,0,940.6,0,151.82,0.85,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020
Punggelan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1004.36,0,140.75,1.01,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,2021
Punggelan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1060.44,0,85.44,1.01,0,0,0,,,,,,,,,,,,,,,,,2022
Punggelan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,629.8,0,0,1.01,0,0,0,,,,,,,,,2023
Punggelan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1259.6,0,176.77,2.02,0,0,0,2024
Purwonegoro,0,1.35,,,200,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2017
Purwonegoro,,,,,,,,0,1164.41,0.07,19.7,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018
Purwonegoro,,,,,,,,,,,,,,,,0,1275.84,0.06,20.1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019
Purwonegoro,,,,,,,,,,,,,,,,,,,,,,,,0,1452.94,0.07,34.8,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020
Purwonegoro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1485.32,0.07,29.71,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,2021
Purwonegoro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1571.38,0.16,29.98,0,0,0,0,,,,,,,,,,,,,,,,,2022
Purwonegoro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1570.84,0.16,23.76,0,0,0,0,,,,,,,,,2023
Purwonegoro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2142.13,0,33.49,0.6,0,0,0,2024
Purworejo Klampok,0,0,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2017
Purworejo Klampok,,,,,,,,0,148.1,0,1.52,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018
Purworejo Klampok,,,,,,,,,,,,,,,,0,152.9,0,1.55,0,11.69,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019
Purworejo Klampok,,,,,,,,,,,,,,,,,,,,,,,,0,161.32,0,4.06,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020
Purworejo Klampok,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,169,0,3.83,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,2021
Purworejo Klampok,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,181.2,0,3.84,0,0,0,0,,,,,,,,,,,,,,,,,2022
Purworejo Klampok,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,165.15,0,3.84,0,0,0,0,,,,,,,,,2023
Purworejo Klampok,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,326.86,0,3.19,0,0,0,0,2024
Rakit,0,0,,,681.82,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2017
Rakit,,,,,,,,0,842.19,0,5.34,1.02,409.5,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018
Rakit,,,,,,,,,,,,,,,,0,897.27,0,6.55,0.93,17.75,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019
Rakit,,,,,,,,,,,,,,,,,,,,,,,,0,1008.45,0,7.57,0.99,0.45,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020
Rakit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1062.74,0,6.9,0.94,0.43,0,0,,,,,,,,,,,,,,,,,,,,,,,,,2021
Rakit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1114.31,0,4.74,0.95,0,0,0,,,,,,,,,,,,,,,,,2022
Rakit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1114.31,0,0,1.12,0,0,0,,,,,,,,,2023
Rakit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1432.33,0,17.38,2.25,0,0,0,2024
Sigaluh,0,0,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2017
Sigaluh,,,,,,,,0,208.68,0,11.65,0.2,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018
