Kecamatan,Arah (Masuk/Keluar),Jenis,Tahun,Jumlah (Ekor)
Mandiraja,pemasukan,Kuda,2022,0
Mandiraja,pemasukan,Kambing,2022,0
Mandiraja,pengeluaran,Sapi,2022,0
Mandiraja,pengeluaran,Kerbau,2022,0
Mandiraja,pengeluaran,Kambing,2022,0
Mandiraja,pengeluaran,Domba,2022,0
Mandiraja,pemasukan,Sapi,2023,0
Mandiraja,pemasukan,Sapi Perah,2023,0
Mandiraja,pemasukan,Kerbau,2023,0
Mandiraja,pemasukan,Kuda,2023,0
Mandiraja,pemasukan,Kambing,2023,0
Mandiraja,pemasukan,Domba,2023,0
Mandiraja,pengeluaran,Sapi,2023,0
Mandiraja,pengeluaran,Kerbau,2023,0
Mandiraja,pengeluaran,Kambing,2023,0
Mandiraja,pengeluaran,Domba,2023,0
Mandiraja,pemasukan,Sapi,2024,0
Mandiraja,pemasukan,Sapi Perah,2024,0
Mandiraja,pemasukan,Kerbau,2024,0
Mandiraja,pemasukan,Kuda,2024,0
Mandiraja,pemasukan,Kambing,2024,0
Mandiraja,pengeluaran,Sapi,2024,0
Mandiraja,pengeluaran,Kerbau,2024,0
Mandiraja,pengeluaran,Kambing,2024,0
Pagedongan,pemasukan,Sapi,2018,0
Pagedongan,pemasukan,Sapi Perah,2018,0
Pagedongan,pemasukan,Kerbau,2018,0
Pagedongan,pemasukan,Kuda,2018,0
Pagedongan,pemasukan,Kambing,2018,0
Pagedongan,pengeluaran,Sapi,2018,0
Pagedongan,pengeluaran,Kerbau,2018,0
Pagedongan,pengeluaran,Kambing,2018,0
Pagedongan,pengeluaran,Domba,2018,0
Pagedongan,pemasukan,Sapi,2020,0
Pagedongan,pemasukan,Sapi Perah,2020,0
Pagedongan,pemasukan,Kerbau,2020,0
Pagedongan,pemasukan,Kuda,2020,0
Pagedongan,pemasukan,Kambing,2020,0
Pagedongan,pengeluaran,Sapi,2020,0
Pagedongan,pengeluaran,Kerbau,2020,0
Pagedongan,pengeluaran,Kambing,2020,0
Pagedongan,pemasukan,Sapi,2021,0
Pagedongan,pemasukan,Sapi Perah,2021,0
Pagedongan,pemasukan,Kerbau,2021,0
Pagedongan,pemasukan,Kuda,2021,0
Pagedongan,pemasukan,Kambing,2021,0
Pagedongan,pengeluaran,Sapi,2021,0
Pagedongan,pengeluaran,Kerbau,2021,0
Pagedongan,pengeluaran,Kambing,2021,0
Pagedongan,pengeluaran,Domba,2021,0
Pagedongan,pemasukan,Sapi,2022,0
Pagedongan,pemasukan,Sapi Perah,2022,0
Pagedongan,pemasukan,Kerbau,2022,0
Pagedongan,pemasukan,Kuda,2022,0
Pagedongan,pemasukan,Kambing,2022,0
Pagedongan,pengeluaran,Sapi,2022,0
Pagedongan,pengeluaran,Kerbau,2022,0
Pagedongan,pengeluaran,Kambing,2022,0
Pagedongan,pengeluaran,Domba,2022,0
Pagedongan,pemasukan,Sapi,2023,0
Pagedongan,pemasukan,Sapi Perah,2023,0
Pagedongan,pemasukan,Kerbau,2023,0
Pagedongan,pemasukan,Kuda,2023,0
Pagedongan,pemasukan,Kambing,2023,0
Pagedongan,pemasukan,Domba,2023,0
Pagedongan,pengeluaran,Sapi,2023,0
Pagedongan,pengeluaran,Kerbau,2023,0
Pagedongan,pengeluaran,Kambing,2023,0
Pagedongan,pengeluaran,Domba,2023,0
Pagedongan,pemasukan,Sapi,2024,0
Pagedongan,pemasukan,Sapi Perah,2024,0
Pagedongan,pemasukan,Kerbau,2024,0
Pagedongan,pemasukan,Kuda,2024,0
Pagedongan,pemasukan,Kambing,2024,0
Pagedongan,pengeluaran,Sapi,2024,0
Pagedongan,pengeluaran,Kerbau,2024,0
Pagedongan,pengeluaran,Kambing,2024,0
Pagentan,pemasukan,Sapi,2018,0
Pagentan,pemasukan,Sapi Perah,2018,0
Pagentan,pemasukan,Kerbau,2018,0
Pagentan,pemasukan,Kuda,2018,0
Pagentan,pemasukan,Kambing,2018,0
Pagentan,pengeluaran,Sapi,2018,0
Pagentan,pengeluaran,Kerbau,2018,0
Pagentan,pengeluaran,Kambing,2018,0
Pagentan,pengeluaran,Domba,2018,0
Pagentan,pemasukan,Sapi,2020,0
Pagentan,pemasukan,Sapi Perah,2020,0
Pagentan,pemasukan,Kerbau,2020,0
Pagentan,pemasukan,Kuda,2020,0
Pagentan,pemasukan,Kambing,2020,0
Pagentan,pengeluaran,Sapi,2020,0
Pagentan,pengeluaran,Kerbau,2020,0
Pagentan,pengeluaran,Kambing,2020,0
Pagentan,pemasukan,Sapi,2021,0
Pagentan,pemasukan,Sapi Perah,2021,0
Pagentan,pemasukan,Kerbau,2021,0
