Kecamatan,Desa,Tahun,KTH,KTH Pemula,KTH Madya,KTH Utama
Purwanegara,KARANGANYAR,2026,3,2,1,0
Purwanegara,KALITENGAH,2026,3,1,2,0
Purwanegara,KALIAJIR,2026,4,2,2,0
Purwanegara,MERDEN,2026,5,4,1,0
Purwareja Klampok,SIRKANDI,2026,5,3,2,0
Rakit,BADAMITA,2026,1,1,0,0
Rakit,BANDINGAN,2026,1,1,0,0
Rakit,LENGKONG,2026,1,1,0,0
Rakit,PINGIT,2026,2,2,0,0
Rakit,ADIPASIR,2026,1,1,0,0
Rakit,GELANG,2026,1,1,0,0
Rakit,LUWUNG,2026,1,1,0,0
Sigaluh,TUNGGARA,2026,2,2,0,0
Sigaluh,RANDEGAN,2026,2,2,0,0
Sigaluh,BOJANEGARA,2026,2,2,0,0
Sigaluh,PRIGI,2026,3,1,1,1
Sigaluh,SIGALUH,2026,1,1,0,0
Sigaluh,SINGAMERTA,2026,2,2,0,0
Sigaluh,PANAWAREN,2026,2,2,0,0
Sigaluh,GEMBONGAN,2026,1,1,0,0
Sigaluh,KEMIRI,2026,1,1,0,0
Sigaluh,PRINGAMBA,2026,3,3,0,0
Sigaluh,KARANGMANGU,2026,1,1,0,0
Sigaluh,SAWAL,2026,2,2,0,0
Susukan,BERTA,2026,2,1,1,0
Susukan,PANARUSAN WETAN,2026,1,1,0,0
Susukan,PEKIKIRAN,2026,1,1,0,0
Susukan,BRENGKOK,2026,1,0,1,0
Susukan,PANARUSAN KULON,2026,1,1,0,0
Susukan,GUMELEM KULON,2026,1,0,1,0
Susukan,DERIK,2026,1,0,1,0
Susukan,GUMELEM WETAN,2026,1,1,0,0
Wanadadi,LEMAHJAYA,2026,11,11,0,0
Wanadadi,WANAKARSA,2026,4,4,0,0
Wanadadi,LINGGASARI,2026,1,1,0,0
Wanadadi,KANDANGWANGI,2026,7,7,0,0
Wanadadi,KARANGJAMBE,2026,1,1,0,0
Wanadadi,MEDAYU,2026,2,2,0,0
Wanadadi,KASILIB,2026,1,1,0,0
Wanayasa,KASIMPAR,2026,1,1,0,0
Wanayasa,PANDANSARI,2026,1,1,0,0
Wanayasa,DAWUHAN,2026,1,0,0,1
Wanayasa,SUSUKAN,2026,1,1,0,0
Wanayasa,PAGERGUNUNG,2026,1,1,0,0
Wanayasa,BANTAR,2026,1,1,0,0
Wanayasa,SUWIDAK,2026,1,1,0,0
Wanayasa,PENANGGUNGAN,2026,1,1,0,0
Wanayasa,KARANGTENGAH,2026,1,1,0,0
Wanayasa,TEMPURAN,2026,1,1,0,0
Wanayasa,KUBANG,2026,1,1,0,0
