Kecamatan,Kelompok,Jenis,Tahun,Jumlah (Ekor)
Kalibening,kecil,Kelinci,2019,348
Kalibening,unggas,Ayam Kampung,2019,23923
Kalibening,unggas,Ayam Ras Layer,2019,1000
Kalibening,unggas,Ayam Broiler,2019,98000
Kalibening,unggas,Itik Biasa,2019,1031
Kalibening,unggas,Itik Manila,2019,839
Kalibening,besar,Sapi Perah,2020,0
Kalibening,besar,Sapi,2020,3461
Kalibening,besar,Kerbau,2020,63
Kalibening,besar,Kuda,2020,0
Kalibening,kecil,Kambing,2020,9457
Kalibening,kecil,Domba,2020,3566
Kalibening,kecil,Babi,2020,0
Kalibening,kecil,Kelinci,2020,184
Kalibening,unggas,Ayam Kampung,2020,18794
Kalibening,unggas,Ayam Ras Layer,2020,2000
Kalibening,unggas,Ayam Broiler,2020,67000
Kalibening,unggas,Itik Biasa,2020,1121
Kalibening,unggas,Itik Manila,2020,919
Kalibening,besar,Sapi Perah,2021,0
Kalibening,besar,Sapi,2021,3687
Kalibening,besar,Kerbau,2021,63
Kalibening,besar,Kuda,2021,0
Kalibening,kecil,Kambing,2021,10038
Kalibening,kecil,Domba,2021,3655.25
Kalibening,kecil,Babi,2021,0
Kalibening,kecil,Kelinci,2021,185
Kalibening,unggas,Ayam Kampung,2021,20689
Kalibening,unggas,Ayam Ras Layer,2021,2011
Kalibening,unggas,Ayam Broiler,2021,296900
Kalibening,unggas,Itik Biasa,2021,1134
Kalibening,unggas,Itik Manila,2021,920
Kalibening,besar,Sapi Perah,2022,0
Kalibening,besar,Sapi,2022,3315
Kalibening,besar,Kerbau,2022,63
Kalibening,besar,Kuda,2022,0
Kalibening,kecil,Kambing,2022,10059
Kalibening,kecil,Domba,2022,3678
Kalibening,kecil,Kelinci,2022,194
Kalibening,unggas,Ayam Kampung,2022,20073
Kalibening,unggas,Ayam Ras Layer,2022,2032
Kalibening,unggas,Ayam Broiler,2022,296347
Kalibening,unggas,Itik Biasa,2022,1095
Kalibening,unggas,Itik Manila,2022,937
Kalibening,besar,Sapi Perah,2023,0
Kalibening,besar,Sapi,2023,2551
