Kecamatan,Jenis Alat,Tahun,Produksi (Kg),Nilai (Ribu Rp)
Punggelan,Jala Tebar,2019,5241.02,98837.83
Punggelan,Pancing,2019,10093.07,184408.86
Punggelan,Jaring Ingsang,2019,1284.66,22807.63
Punggelan,Lainnya,2019,4274.11,63832.28
Punggelan,Jala Tebar,2020,6230,126956
Punggelan,Pancing,2020,11433,227707.3
Punggelan,Jaring Ingsang,2020,1402,29617.1
Punggelan,Lainnya,2020,4168,87285.9
Punggelan,Jala Tebar,2021,7275,142399.2
Punggelan,Pancing,2021,10651,203039.2
Punggelan,Jaring Ingsang,2021,0,0
Punggelan,Lainnya,2021,3985,82732.5
Punggelan,Jala Tebar,2022,5466,106226.9
Punggelan,Pancing,2022,5355,100879
Punggelan,Lainnya,2022,2364,49006.7
Punggelan,Jala Tebar,2023,6147.2,120275.55
Punggelan,Pancing,2023,5005.72,97941.53
Punggelan,Jaring Ingsang,2023,0,0
Punggelan,Lainnya,2023,4828.48,94473.56
Punggelan,Jala Tebar,2024,0,0
Punggelan,Pancing,2024,0,0
Punggelan,Jaring Ingsang,2024,0,0
Punggelan,Lainnya,2024,0,0
Purwanegara,Jala Tebar,2019,16119.51,303989.99
Purwanegara,Pancing,2019,31042.7,567176.04
Purwanegara,Jaring Ingsang,2019,3951.15,70148.15
Purwanegara,Lainnya,2019,13145.65,196325.4
Purwanegara,Jala Tebar,2020,19162,390471.5
Purwanegara,Pancing,2020,35165,700346.7
Purwanegara,Jaring Ingsang,2020,4312,91091.8
Purwanegara,Lainnya,2020,12818,268460.4
Purwanegara,Jala Tebar,2021,22376,437969.2
Purwanegara,Pancing,2021,32759,624476.3
Purwanegara,Jaring Ingsang,2021,0,0
Purwanegara,Lainnya,2021,12257,254455.7
Purwanegara,Jala Tebar,2022,16812,326716.1
Purwanegara,Pancing,2022,16469,310268
Purwanegara,Lainnya,2022,7271,150727.3
Purwanegara,Jala Tebar,2023,19208.59,375833.71
Purwanegara,Pancing,2023,15093.82,295324.39
Purwanegara,Jaring Ingsang,2023,0,0
Purwanegara,Lainnya,2023,14850.68,290567.05
Purwanegara,Jala Tebar,2024,0,0
Purwanegara,Pancing,2024,0,0
Purwanegara,Jaring Ingsang,2024,0,0
Purwanegara,Lainnya,2024,45329,890928.45
Purwareja Klampok,Jala Tebar,2019,6652.57,125457.49
Purwareja Klampok,Pancing,2019,12811.41,234075.08
Purwareja Klampok,Jaring Ingsang,2019,1630.65,28950.33
Purwareja Klampok,Lainnya,2019,5425.25,81024.02
Purwareja Klampok,Jala Tebar,2020,7908,161148.7
Purwareja Klampok,Pancing,2020,14513,289035
Purwareja Klampok,Jaring Ingsang,2020,1779,37593.8
Purwareja Klampok,Lainnya,2020,5290,110794.3
Purwareja Klampok,Jala Tebar,2021,8986,180751.1
Purwareja Klampok,Pancing,2021,13768,257723
Purwareja Klampok,Jaring Ingsang,2021,0,0
Purwareja Klampok,Lainnya,2021,5059,105014.5
Purwareja Klampok,Jala Tebar,2022,6938,134836.6
Purwareja Klampok,Pancing,2022,6797,128048.4
Purwareja Klampok,Lainnya,2022,3001,62205.6
Purwareja Klampok,Jala Tebar,2023,7802.8,152668.97
Purwareja Klampok,Pancing,2023,6353.9,124319.8
Purwareja Klampok,Jaring Ingsang,2023,0,0
Purwareja Klampok,Lainnya,2023,6128.91,119917.81
Purwareja Klampok,Jala Tebar,2024,34109,698541.02
Purwareja Klampok,Pancing,2024,0,0
Purwareja Klampok,Jaring Ingsang,2024,0,0
Purwareja Klampok,Lainnya,2024,0,0
Rakit,Jala Tebar,2019,13366.12,252065.21
Rakit,Pancing,2019,25740.27,470296.24
Rakit,Jaring Ingsang,2019,3276.25,58166.09
Rakit,Lainnya,2019,10900.23,162790.9
Rakit,Jala Tebar,2020,15889,323774.8
Rakit,Pancing,2020,29158,580719.9
Rakit,Jaring Ingsang,2020,3575,75532.3
Rakit,Lainnya,2020,10629,222604.5
Rakit,Jala Tebar,2021,18554,363159.4
Rakit,Pancing,2021,27163,517809
Rakit,Jaring Ingsang,2021,0,0
Rakit,Lainnya,2021,10164,210991.9
Rakit,Jala Tebar,2022,13940,270909.5
Rakit,Pancing,2022,13656,257270.8
Rakit,Lainnya,2022,6029,124981.5
Rakit,Jala Tebar,2023,15677.14,306737.65
Rakit,Pancing,2023,12766.05,249779.4
Rakit,Jaring Ingsang,2023,0,0
Rakit,Lainnya,2023,12314.02,240935.06
Rakit,Jala Tebar,2024,0,0
Rakit,Pancing,2024,0,0
Rakit,Jaring Ingsang,2024,0,0
Rakit,Lainnya,2024,33606,659497.26
Sigaluh,Jala Tebar,2019,3720.57,70164.5
Sigaluh,Pancing,2019,7165.02,130910.96
Sigaluh,Jaring Ingsang,2019,911.97,16191.03
Sigaluh,Lainnya,2019,3034.17,45314.23
Sigaluh,Jala Tebar,2020,4423,90125.5
Sigaluh,Pancing,2020,8116,161648.3
Sigaluh,Jaring Ingsang,2020,995,21025.1
Sigaluh,Lainnya,2020,2959,61963.8
Sigaluh,Jala Tebar,2021,5165,101088.5
Sigaluh,Pancing,2021,7561,144136.5
Sigaluh,Jaring Ingsang,2021,0,0
Sigaluh,Lainnya,2021,2829,58731.4
Sigaluh,Jala Tebar,2022,3880,75410
Sigaluh,Pancing,2022,3801,71613.5
Sigaluh,Lainnya,2022,1678,34789.5
Sigaluh,Jala Tebar,2023,4363.87,85383.03
Sigaluh,Pancing,2023,3553.54,69528.22
Sigaluh,Jaring Ingsang,2023,0,0
Sigaluh,Lainnya,2023,3427.71,67066.32
Sigaluh,Jala Tebar,2024,0,0
Sigaluh,Pancing,2024,43309,990512.51
Sigaluh,Jaring Ingsang,2024,0,0
Sigaluh,Lainnya,2024,0,0
Susukan,Jala Tebar,2019,8774.25,165469.35
Susukan,Pancing,2019,16897.32,308728.1
Susukan,Jaring Ingsang,2019,2150.71,38183.39
Susukan,Lainnya,2019,7155.51,106864.82
Susukan,Jala Tebar,2020,10430,212543.4
Susukan,Pancing,2020,19141,381216.2
Susukan,Jaring Ingsang,2020,2347,49583.5
Susukan,Lainnya,2020,6977,146129.7
Susukan,Jala Tebar,2021,11852,238397.6
Susukan,Pancing,2021,18159,339918.1
Susukan,Jaring Ingsang,2021,0,0
Susukan,Lainnya,2021,6672,138506.6
Susukan,Jala Tebar,2022,9151,177839.7
Susukan,Pancing,2022,8965,168886.6
Susukan,Lainnya,2022,3958,82044.7
Susukan,Jala Tebar,2023,10291.33,201359.32
Susukan,Pancing,2023,8380.33,163968.82
Susukan,Jaring Ingsang,2023,0,0
Susukan,Lainnya,2023,8083.59,158162.91
Susukan,Jala Tebar,2024,0,0
Susukan,Pancing,2024,0,0
Susukan,Jaring Ingsang,2024,0,0
Susukan,Lainnya,2024,0,0
Wanadadi,Jala Tebar,2019,19735.51,372182.34
Wanadadi,Pancing,2019,38006.34,694407.42
Wanadadi,Jaring Ingsang,2019,305535.18,5424434.16
Wanadadi,Lainnya,2019,162589.66,2428216.28
Wanadadi,Jala Tebar,2020,23460,478063.8
Wanadadi,Pancing,2020,43053,857451.5
Wanadadi,Jaring Ingsang,2020,338339,7389055.8
Wanadadi,Lainnya,2020,174871,2238812.4
Wanadadi,Jala Tebar,2021,29581,582353
Wanadadi,Pancing,2021,55132,1008257.9
Wanadadi,Jaring Ingsang,2021,243996,4295622.5
Wanadadi,Lainnya,2021,183227,311536.3
Wanadadi,Jala Tebar,2022,22155,432989.7
Wanadadi,Pancing,2022,30535,597884.4
Wanadadi,Jaring Ingsang,2022,164094,2867673.6
Wanadadi,Lainnya,2022,136994,1721644.8
Wanadadi,Jala Tebar,2023,37925.2,837306.28
Wanadadi,Pancing,2023,39622.88,874787.24
Wanadadi,Jaring Ingsang,2023,86766.6,1915618.45
Wanadadi,Lainnya,2023,68896.84,1521092.97
Wanadadi,Jala Tebar,2024,9122,204114
Wanadadi,Pancing,2024,0,0
Wanadadi,Jaring Ingsang,2024,103344,2049283
Wanadadi,Lainnya,2024,66804,2053956
Wanayasa,Jala Tebar,2019,4199.79,79201.72
Wanayasa,Pancing,2019,8087.88,147772.35
Wanayasa,Jaring Ingsang,2019,1029.43,18276.44
Wanayasa,Lainnya,2019,3424.97,51150.73
Wanayasa,Jala Tebar,2020,4992,101733.7
Wanayasa,Pancing,2020,9162,182468.7
Wanayasa,Jaring Ingsang,2020,1123,23733.1
Wanayasa,Lainnya,2020,3340,69944.8
Wanayasa,Jala Tebar,2021,5830,114108.7
Wanayasa,Pancing,2021,8535,162701.4
Wanayasa,Jaring Ingsang,2021,0,0
Wanayasa,Lainnya,2021,3194,66296
Wanayasa,Jala Tebar,2022,4380,85122.8
Wanayasa,Pancing,2022,4291,80837.4
Wanayasa,Lainnya,2022,1894,39270.6
Wanayasa,Jala Tebar,2023,4925.93,96380.41
Wanayasa,Pancing,2023,4011.24,78483.49
Wanayasa,Jaring Ingsang,2023,0,0
Wanayasa,Lainnya,2023,3869.2,75704.5
Wanayasa,Jala Tebar,2024,0,0
Wanayasa,Pancing,2024,0,0
Wanayasa,Jaring Ingsang,2024,0,0
Wanayasa,Lainnya,2024,0,0
