Kecamatan,Lokasi (RPH),Jenis,Tahun,Jumlah (Ekor)
Purwareja Klampok,luar_rph,Kerbau,2020,0
Purwareja Klampok,luar_rph,Babi,2020,0
Purwareja Klampok,luar_rph,Kambing,2020,294
Purwareja Klampok,luar_rph,Domba,2020,4
Purwareja Klampok,luar_rph,Sapi,2021,96
Purwareja Klampok,luar_rph,Kerbau,2021,0
Purwareja Klampok,luar_rph,Babi,2021,0
Purwareja Klampok,luar_rph,Kambing,2021,234
Purwareja Klampok,luar_rph,Domba,2021,0
Purwareja Klampok,luar_rph,Sapi,2023,107
Purwareja Klampok,luar_rph,Kerbau,2023,0
Purwareja Klampok,luar_rph,Babi,2023,0
Purwareja Klampok,luar_rph,Kambing,2023,289
Purwareja Klampok,luar_rph,Domba,2023,5
Purwareja Klampok,luar_rph,Sapi,2024,93
Purwareja Klampok,luar_rph,Kerbau,2024,0
Purwareja Klampok,luar_rph,Babi,2024,0
Purwareja Klampok,luar_rph,Kambing,2024,586
Purwareja Klampok,luar_rph,Domba,2024,33
Rakit,luar_rph,Sapi,2018,159
Rakit,luar_rph,Kerbau,2018,0
Rakit,luar_rph,Babi,2018,0
Rakit,luar_rph,Kambing,2018,189
Rakit,luar_rph,Domba,2018,8
Rakit,luar_rph,Sapi,2020,181
Rakit,luar_rph,Kerbau,2020,0
Rakit,luar_rph,Babi,2020,0
Rakit,luar_rph,Kambing,2020,251
Rakit,luar_rph,Domba,2020,18
Rakit,luar_rph,Sapi,2021,242
Rakit,luar_rph,Kerbau,2021,0
Rakit,luar_rph,Babi,2021,0
Rakit,luar_rph,Kambing,2021,203
Rakit,luar_rph,Domba,2021,20
Rakit,luar_rph,Sapi,2023,196
Rakit,luar_rph,Kerbau,2023,0
Rakit,luar_rph,Babi,2023,0
Rakit,luar_rph,Kambing,2023,230
Rakit,luar_rph,Domba,2023,38
Rakit,luar_rph,Sapi,2024,220
Rakit,luar_rph,Kerbau,2024,0
Rakit,luar_rph,Babi,2024,0
Rakit,luar_rph,Kambing,2024,331
Rakit,luar_rph,Domba,2024,65
Sigaluh,luar_rph,Sapi,2018,136
Sigaluh,luar_rph,Kerbau,2018,0
Sigaluh,luar_rph,Babi,2018,0
Sigaluh,luar_rph,Kambing,2018,173
Sigaluh,luar_rph,Domba,2018,22
Sigaluh,luar_rph,Sapi,2020,166
Sigaluh,luar_rph,Kerbau,2020,0
Sigaluh,luar_rph,Babi,2020,0
Sigaluh,luar_rph,Kambing,2020,282
Sigaluh,luar_rph,Domba,2020,17
Sigaluh,luar_rph,Sapi,2021,175
Sigaluh,luar_rph,Kerbau,2021,0
Sigaluh,luar_rph,Babi,2021,0
Sigaluh,luar_rph,Kambing,2021,195
Sigaluh,luar_rph,Domba,2021,0
Sigaluh,luar_rph,Sapi,2023,173
Sigaluh,luar_rph,Kerbau,2023,0
Sigaluh,luar_rph,Babi,2023,0
Sigaluh,luar_rph,Kambing,2023,85
Sigaluh,luar_rph,Domba,2023,0
Sigaluh,luar_rph,Sapi,2024,188
Sigaluh,luar_rph,Kerbau,2024,0
Sigaluh,luar_rph,Babi,2024,0
Sigaluh,luar_rph,Kambing,2024,258
Sigaluh,luar_rph,Domba,2024,69
Susukan,luar_rph,Sapi,2018,90
Susukan,luar_rph,Kerbau,2018,0
Susukan,luar_rph,Babi,2018,0
Susukan,luar_rph,Kambing,2018,348
Susukan,luar_rph,Domba,2018,0
Susukan,luar_rph,Sapi,2020,98
Susukan,luar_rph,Kerbau,2020,0
Susukan,luar_rph,Babi,2020,0
Susukan,luar_rph,Kambing,2020,713
Susukan,luar_rph,Domba,2020,8
Susukan,luar_rph,Sapi,2021,118
Susukan,luar_rph,Kerbau,2021,0
Susukan,luar_rph,Babi,2021,0
Susukan,luar_rph,Kambing,2021,246
Susukan,luar_rph,Domba,2021,20
Susukan,luar_rph,Sapi,2023,129
Susukan,luar_rph,Kerbau,2023,0
Susukan,luar_rph,Babi,2023,0
Susukan,luar_rph,Kambing,2023,365
Susukan,luar_rph,Domba,2023,0
Susukan,luar_rph,Sapi,2024,98
Susukan,luar_rph,Kerbau,2024,0
Susukan,luar_rph,Babi,2024,0
Susukan,luar_rph,Kambing,2024,329
Susukan,luar_rph,Domba,2024,49
Wanadadi,luar_rph,Sapi,2018,313
Wanadadi,luar_rph,Kerbau,2018,0
Wanadadi,luar_rph,Babi,2018,0
Wanadadi,luar_rph,Kambing,2018,134
Wanadadi,luar_rph,Domba,2018,8
Wanadadi,luar_rph,Sapi,2020,321
Wanadadi,luar_rph,Kerbau,2020,0
