Kecamatan,Kelompok,Jenis,Tahun,Produksi (Kg)
Pandanarum,ternak,Sapi,2020,31189.74
Pandanarum,ternak,Kerbau,2020,0
Pandanarum,ternak,Babi,2020,0
Pandanarum,ternak,Kambing,2020,7759.19
Pandanarum,ternak,Domba,2020,0
Pandanarum,unggas,Ayam Ras Layer,2020,33672
Pandanarum,unggas,Ayam Kampung,2020,119240
Pandanarum,ternak,Sapi,2021,38516.42
Pandanarum,ternak,Kerbau,2021,0
Pandanarum,ternak,Babi,2021,0
Pandanarum,ternak,Kambing,2021,8295.38
Pandanarum,ternak,Domba,2021,0
Pandanarum,unggas,Ayam Ras Layer,2021,0
Pandanarum,unggas,Ayam Kampung,2021,31101
Pandanarum,ternak,Sapi,2022,35317.81
Pandanarum,ternak,Kerbau,2022,0
Pandanarum,ternak,Babi,2022,0
Pandanarum,ternak,Kambing,2022,8361.94
Pandanarum,ternak,Domba,2022,93.14
Pandanarum,unggas,Ayam Ras Layer,2022,0
Pandanarum,unggas,Ayam Kampung,2022,44524.95
Pandanarum,ternak,Sapi,2023,35629.54
Pandanarum,ternak,Kambing,2023,4916.79
Pandanarum,ternak,Domba,2023,141.43
Pandanarum,unggas,Ayam Ras Layer,2023,404496.41
Pandanarum,unggas,Ayam Kampung,2023,318430.48
Pandanarum,ternak,Sapi,2024,43128.8
Pandanarum,ternak,Kerbau,2024,0
Pandanarum,ternak,Babi,2024,0
Pandanarum,ternak,Kambing,2024,3060
Pandanarum,ternak,Domba,2024,771.82
Pandanarum,unggas,Ayam Ras Layer,2024,470.24
Pandanarum,unggas,Ayam Kampung,2024,3046.28
Pejawaran,ternak,Sapi,2018,72337.65
Pejawaran,ternak,Kerbau,2018,0
Pejawaran,ternak,Babi,2018,0
Pejawaran,ternak,Kambing,2018,2438.21
Pejawaran,ternak,Domba,2018,2803.91
Pejawaran,ternak,Sapi,2019,71022.42
Pejawaran,ternak,Kambing,2019,1388.67
Pejawaran,ternak,Domba,2019,4053.86
Pejawaran,unggas,Ayam Ras Layer,2019,0
Pejawaran,unggas,Ayam Kampung,2019,8118
Pejawaran,ternak,Sapi,2020,77974.35
Pejawaran,ternak,Kerbau,2020,0
Pejawaran,ternak,Babi,2020,0
Pejawaran,ternak,Kambing,2020,3514.69
Pejawaran,ternak,Domba,2020,3509.3
Pejawaran,unggas,Ayam Ras Layer,2020,4258
Pejawaran,unggas,Ayam Kampung,2020,132923
Pejawaran,ternak,Sapi,2021,96291.06
Pejawaran,ternak,Kerbau,2021,0
Pejawaran,ternak,Babi,2021,0
Pejawaran,ternak,Kambing,2021,3757.57
Pejawaran,ternak,Domba,2021,3411.35
Pejawaran,unggas,Ayam Ras Layer,2021,0
Pejawaran,unggas,Ayam Kampung,2021,3933
Pejawaran,ternak,Sapi,2022,92026.24
Pejawaran,ternak,Kerbau,2022,0
Pejawaran,ternak,Babi,2022,0
Pejawaran,ternak,Kambing,2022,3850.74
Pejawaran,ternak,Domba,2022,3434.63
Pejawaran,unggas,Ayam Ras Layer,2022,0
Pejawaran,unggas,Ayam Kampung,2022,34924.26
Pejawaran,ternak,Sapi,2023,92838.51
Pejawaran,ternak,Kambing,2023,2264.22
Pejawaran,ternak,Domba,2023,5215.44
Pejawaran,unggas,Ayam Ras Layer,2023,452935.28
Pejawaran,unggas,Ayam Kampung,2023,30540.46
Pejawaran,ternak,Sapi,2024,83469.1
Pejawaran,ternak,Kerbau,2024,0
Pejawaran,ternak,Babi,2024,0
Pejawaran,ternak,Kambing,2024,1158.75
Pejawaran,ternak,Domba,2024,1501.92
Pejawaran,unggas,Ayam Ras Layer,2024,144.1
Pejawaran,unggas,Ayam Kampung,2024,1266.35
Punggelan,ternak,Sapi,2018,50354.52
Punggelan,ternak,Kerbau,2018,0
Punggelan,ternak,Babi,2018,0
Punggelan,ternak,Kambing,2018,12642.56
Punggelan,ternak,Domba,2018,677.17
Punggelan,ternak,Sapi,2019,76095.45
Punggelan,ternak,Kambing,2019,10883.56
Punggelan,ternak,Domba,2019,303.29
Punggelan,unggas,Ayam Ras Layer,2019,10479
Punggelan,unggas,Ayam Kampung,2019,40445
Punggelan,ternak,Sapi,2020,73464.99
Punggelan,ternak,Kerbau,2020,0
Punggelan,ternak,Babi,2020,0
Punggelan,ternak,Kambing,2020,15350.92
Punggelan,ternak,Domba,2020,278.38
Punggelan,unggas,Ayam Ras Layer,2020,34209
Punggelan,unggas,Ayam Kampung,2020,293314
Punggelan,ternak,Sapi,2021,90722.42
Punggelan,ternak,Kerbau,2021,0
Punggelan,ternak,Babi,2021,0
Punggelan,ternak,Kambing,2021,16411.74
Punggelan,ternak,Domba,2021,270.61
Punggelan,unggas,Ayam Ras Layer,2021,222054
Punggelan,unggas,Ayam Kampung,2021,31599
Punggelan,ternak,Sapi,2022,86457.6
Punggelan,ternak,Kerbau,2022,0
Punggelan,ternak,Babi,2022,0
Punggelan,ternak,Kambing,2022,16464.98
Punggelan,ternak,Domba,2022,289.24
Punggelan,unggas,Ayam Ras Layer,2022,6284.91
Punggelan,unggas,Ayam Kampung,2022,40211.6
Punggelan,ternak,Sapi,2023,87220.71
Punggelan,ternak,Kambing,2023,9681.35
Punggelan,ternak,Domba,2023,439.2
Punggelan,unggas,Ayam Ras Layer,2023,975954.31
Punggelan,unggas,Ayam Kampung,2023,320504.39
Punggelan,ternak,Sapi,2024,111168.2
Punggelan,ternak,Kerbau,2024,0
Punggelan,ternak,Babi,2024,0
Punggelan,ternak,Kambing,2024,8550
Punggelan,ternak,Domba,2024,250.32
Punggelan,unggas,Ayam Ras Layer,2024,5954.9
Punggelan,unggas,Ayam Kampung,2024,27782.98
Purwanegara,ternak,Sapi,2018,46972.5
Purwanegara,ternak,Kerbau,2018,0
Purwanegara,ternak,Babi,2018,0
Purwanegara,ternak,Kambing,2018,6547.04
Purwanegara,ternak,Domba,2018,306.84
Purwanegara,ternak,Sapi,2019,45093.6
Purwanegara,ternak,Kambing,2019,3127.33
Purwanegara,ternak,Domba,2019,52.9
Purwanegara,unggas,Ayam Ras Layer,2019,21320
Purwanegara,unggas,Ayam Kampung,2019,190255
Purwanegara,ternak,Sapi,2020,61252.14
Purwanegara,ternak,Kerbau,2020,0
Purwanegara,ternak,Babi,2020,0
Purwanegara,ternak,Kambing,2020,9536.34
Purwanegara,ternak,Domba,2020,544.8
Purwanegara,unggas,Ayam Ras Layer,2020,137668
Purwanegara,unggas,Ayam Kampung,2020,647303
Purwanegara,ternak,Sapi,2021,75640.69
Purwanegara,ternak,Kerbau,2021,0
Purwanegara,ternak,Babi,2021,0
Purwanegara,ternak,Kambing,2021,10195.34
Purwanegara,ternak,Domba,2021,529.59
Purwanegara,unggas,Ayam Ras Layer,2021,228746
Purwanegara,unggas,Ayam Kampung,2021,127159
Purwanegara,ternak,Sapi,2022,73508.28
Purwanegara,ternak,Kerbau,2022,0
Purwanegara,ternak,Babi,2022,0
Purwanegara,ternak,Kambing,2022,10275.2
Purwanegara,ternak,Domba,2022,543.56
Purwanegara,unggas,Ayam Ras Layer,2022,6086.44
Purwanegara,unggas,Ayam Kampung,2022,31306.61
Purwanegara,ternak,Sapi,2023,74157.1
Purwanegara,ternak,Kambing,2023,6041.78
