Kecamatan,Obyek,Arah (Masuk/Keluar),Tahun,Produksi (Kg)
Rakit,Perairan Umum Sungai,total,2024,33606
Rakit,Perairan Umum Sungai,sendiri,2024,0
Rakit,Perairan Umum Sungai,lain_daerah,2024,0
Rakit,Perairan Umum Waduk,total,2024,0
Sigaluh,Perairan Umum Sungai,total,2018,13513.48
Sigaluh,Perairan Umum Sungai,sendiri,2018,0
Sigaluh,Perairan Umum Sungai,lain_daerah,2018,0
Sigaluh,Perairan Umum Waduk,total,2018,0
Sigaluh,Perairan Umum Sungai,total,2019,14831.7
Sigaluh,Perairan Umum Sungai,sendiri,2019,0
Sigaluh,Perairan Umum Sungai,lain_daerah,2019,0
Sigaluh,Perairan Umum Sungai,total,2020,16493
Sigaluh,Perairan Umum Sungai,sendiri,2020,0
Sigaluh,Perairan Umum Sungai,lain_daerah,2020,0
Sigaluh,Perairan Umum Waduk,total,2020,0
Sigaluh,Perairan Umum Sungai,total,2021,15555
Sigaluh,Perairan Umum Sungai,sendiri,2021,0
Sigaluh,Perairan Umum Sungai,lain_daerah,2021,0
Sigaluh,Perairan Umum Waduk,total,2021,0
Sigaluh,Perairan Umum Sungai,total,2022,9359
Sigaluh,Perairan Umum Sungai,sendiri,2022,0
Sigaluh,Perairan Umum Sungai,lain_daerah,2022,0
Sigaluh,Perairan Umum Waduk,total,2022,0
Sigaluh,Perairan Umum Sungai,total,2023,11345.12
Sigaluh,Perairan Umum Sungai,sendiri,2023,0
Sigaluh,Perairan Umum Sungai,lain_daerah,2023,0
Sigaluh,Perairan Umum Waduk,total,2023,0
Sigaluh,Perairan Umum Sungai,total,2024,43309
Sigaluh,Perairan Umum Sungai,sendiri,2024,0
Sigaluh,Perairan Umum Sungai,lain_daerah,2024,0
Sigaluh,Perairan Umum Waduk,total,2024,0
Susukan,Perairan Umum Sungai,total,2018,31868.91
Susukan,Perairan Umum Sungai,sendiri,2018,0
Susukan,Perairan Umum Sungai,lain_daerah,2018,0
Susukan,Perairan Umum Waduk,total,2018,0
Susukan,Perairan Umum Sungai,total,2019,34977.8
Susukan,Perairan Umum Sungai,sendiri,2019,0
Susukan,Perairan Umum Sungai,lain_daerah,2019,0
Susukan,Perairan Umum Sungai,total,2020,38896
Susukan,Perairan Umum Sungai,sendiri,2020,0
Susukan,Perairan Umum Sungai,lain_daerah,2020,0
Susukan,Perairan Umum Sungai,total,2021,36683
Susukan,Perairan Umum Sungai,sendiri,2021,0
Susukan,Perairan Umum Sungai,lain_daerah,2021,0
Susukan,Perairan Umum Waduk,total,2021,0
Susukan,Perairan Umum Sungai,total,2022,22074
Susukan,Perairan Umum Sungai,sendiri,2022,0
Susukan,Perairan Umum Sungai,lain_daerah,2022,0
Susukan,Perairan Umum Waduk,total,2022,0
Susukan,Perairan Umum Sungai,total,2023,26755.26
Susukan,Perairan Umum Sungai,sendiri,2023,0
Susukan,Perairan Umum Sungai,lain_daerah,2023,0
Susukan,Perairan Umum Waduk,total,2023,0
Susukan,Perairan Umum Sungai,total,2024,0
Susukan,Perairan Umum Sungai,sendiri,2024,0
Susukan,Perairan Umum Sungai,lain_daerah,2024,0
Susukan,Perairan Umum Waduk,total,2024,0
Wanadadi,Perairan Umum Sungai,total,2018,71681.23
Wanadadi,Perairan Umum Sungai,sendiri,2018,0
Wanadadi,Perairan Umum Sungai,lain_daerah,2018,0
Wanadadi,Perairan Umum Waduk,total,2018,407519.64
Wanadadi,Perairan Umum Sungai,total,2019,78673.9
Wanadadi,Perairan Umum Sungai,sendiri,2019,0
Wanadadi,Perairan Umum Sungai,lain_daerah,2019,134391
Wanadadi,Perairan Umum Waduk,total,2019,447193
Wanadadi,Perairan Umum Sungai,total,2020,87486
