Kecamatan,Tanaman,Tahun,Luas (Ha)
Madukara,Kelapa Dalam,2024,774.87
Madukara,Karet,2024,0
Madukara,Kopi Robusta,2024,51
Madukara,Kakao,2024,0
Madukara,Tebu,2024,0
Madukara,Teh,2024,0
Madukara,Tembakau,2024,0
Madukara,Kopi Arabica,2024,0
Mandiraja,Kelapa Sawit,2017,0
Mandiraja,Karet,2017,1
Mandiraja,Kakao,2017,0
Mandiraja,Tebu,2017,0
Mandiraja,Teh,2017,0
Mandiraja,Tembakau,2017,0
Mandiraja,Kelapa Sawit,2018,0
Mandiraja,Kelapa Dalam,2018,1113
Mandiraja,Karet,2018,30
Mandiraja,Kopi Robusta,2018,46
Mandiraja,Kakao,2018,0
Mandiraja,Tebu,2018,0
Mandiraja,Teh,2018,0
Mandiraja,Tembakau,2018,0
Mandiraja,Kelapa Sawit,2019,0
Mandiraja,Kelapa Dalam,2019,1113
Mandiraja,Karet,2019,30
Mandiraja,Kopi Robusta,2019,46
Mandiraja,Kakao,2019,0
Mandiraja,Tebu,2019,0
Mandiraja,Teh,2019,0
Mandiraja,Tembakau,2019,0
Mandiraja,Kelapa Dalam,2020,1117
Mandiraja,Karet,2020,24.4
Mandiraja,Kopi Robusta,2020,48
Mandiraja,Kakao,2020,0
Mandiraja,Tebu,2020,0
Mandiraja,Teh,2020,0
Mandiraja,Tembakau,2020,0
Mandiraja,Kelapa Sawit,2021,0
Mandiraja,Kelapa Dalam,2021,1117
Mandiraja,Karet,2021,24.4
Mandiraja,Kopi Robusta,2021,48
Mandiraja,Kakao,2021,0
Mandiraja,Tebu,2021,0
Mandiraja,Teh,2021,0
Mandiraja,Tembakau,2021,0
Mandiraja,Kopi Arabica,2021,0
Mandiraja,Kelapa Sawit,2022,0
Mandiraja,Kelapa Dalam,2022,1117
Mandiraja,Karet,2022,24.4
Mandiraja,Kopi Robusta,2022,48
Mandiraja,Kakao,2022,0
Mandiraja,Tebu,2022,0
Mandiraja,Teh,2022,0
Mandiraja,Tembakau,2022,0
Mandiraja,Kopi Arabica,2022,0
Mandiraja,Kelapa Sawit,2023,0
Mandiraja,Kelapa Dalam,2023,1117
Mandiraja,Karet,2023,24.4
Mandiraja,Kopi Robusta,2023,48
Mandiraja,Kakao,2023,0
Mandiraja,Tebu,2023,0
Mandiraja,Teh,2023,0
Mandiraja,Tembakau,2023,0
Mandiraja,Kopi Arabica,2023,0
Mandiraja,Kelapa Sawit,2024,0
Mandiraja,Kelapa Dalam,2024,1117
Mandiraja,Karet,2024,24.4
Mandiraja,Kopi Robusta,2024,48
Mandiraja,Kakao,2024,0
Mandiraja,Tebu,2024,0
Mandiraja,Teh,2024,0
Mandiraja,Tembakau,2024,0
Mandiraja,Kopi Arabica,2024,0
Pagedongan,Kelapa Sawit,2017,0
Pagedongan,Karet,2017,2.68
Pagedongan,Kakao,2017,7.79
Pagedongan,Tebu,2017,0.29
Pagedongan,Teh,2017,0
Pagedongan,Tembakau,2017,0
Pagedongan,Kelapa Sawit,2018,0
Pagedongan,Kelapa Dalam,2018,1068
Pagedongan,Karet,2018,395.68
Pagedongan,Kopi Robusta,2018,54
Pagedongan,Kakao,2018,7.79
Pagedongan,Tebu,2018,0.29
Pagedongan,Teh,2018,0
Pagedongan,Tembakau,2018,0
Pagedongan,Kelapa Sawit,2019,0
Pagedongan,Kelapa Dalam,2019,1069.12
Pagedongan,Karet,2019,393.68
Pagedongan,Kopi Robusta,2019,61
Pagedongan,Kakao,2019,3.8
Pagedongan,Tebu,2019,0
Pagedongan,Teh,2019,0
Pagedongan,Tembakau,2019,0
Pagedongan,Kelapa Dalam,2020,1116.12
Pagedongan,Karet,2020,393.68
Pagedongan,Kopi Robusta,2020,68
Pagedongan,Kakao,2020,3.8
Pagedongan,Tebu,2020,0
Pagedongan,Teh,2020,0
Pagedongan,Tembakau,2020,0
Pagedongan,Kelapa Sawit,2021,0
Pagedongan,Kelapa Dalam,2021,1116.12
Pagedongan,Karet,2021,393.68
Pagedongan,Kopi Robusta,2021,68
Pagedongan,Kakao,2021,3.8
Pagedongan,Tebu,2021,0
Pagedongan,Teh,2021,0
Pagedongan,Tembakau,2021,0
Pagedongan,Kopi Arabica,2021,0
Pagedongan,Kelapa Sawit,2022,0
Pagedongan,Kelapa Dalam,2022,1116.12
Pagedongan,Karet,2022,393.68
Pagedongan,Kopi Robusta,2022,68
Pagedongan,Kakao,2022,3.8
Pagedongan,Tebu,2022,0
Pagedongan,Teh,2022,0
Pagedongan,Tembakau,2022,0
Pagedongan,Kopi Arabica,2022,0
Pagedongan,Kelapa Sawit,2023,0
Pagedongan,Kelapa Dalam,2023,1118.12
Pagedongan,Karet,2023,391.68
Pagedongan,Kopi Robusta,2023,77.6
Pagedongan,Kakao,2023,1.51
Pagedongan,Tebu,2023,0
Pagedongan,Teh,2023,0
Pagedongan,Tembakau,2023,0
Pagedongan,Kopi Arabica,2023,0
Pagedongan,Kelapa Sawit,2024,0
Pagedongan,Kelapa Dalam,2024,1116.12
Pagedongan,Karet,2024,387
Pagedongan,Kopi Robusta,2024,77.6
Pagedongan,Kakao,2024,1.51
Pagedongan,Tebu,2024,0
Pagedongan,Teh,2024,0
Pagedongan,Tembakau,2024,0
Pagedongan,Kopi Arabica,2024,0
Pagentan,Kelapa Sawit,2017,0
Pagentan,Karet,2017,0
Pagentan,Kakao,2017,0
Pagentan,Tebu,2017,0
Pagentan,Teh,2017,10.5
Pagentan,Tembakau,2017,100
Pagentan,Kelapa Sawit,2018,0
Pagentan,Kelapa Dalam,2018,47.08
Pagentan,Karet,2018,0
Pagentan,Kopi Robusta,2018,43.04
Pagentan,Kakao,2018,0
Pagentan,Tebu,2018,0
Pagentan,Teh,2018,10.5
Pagentan,Tembakau,2018,95
Pagentan,Kelapa Sawit,2019,0
Pagentan,Kelapa Dalam,2019,47.08
Pagentan,Karet,2019,0
Pagentan,Kopi Robusta,2019,43.04
Pagentan,Kakao,2019,0
Pagentan,Tebu,2019,0
Pagentan,Teh,2019,34.25
Pagentan,Tembakau,2019,80
Pagentan,Kelapa Dalam,2020,47.08
Pagentan,Karet,2020,0
Pagentan,Kopi Robusta,2020,50.29
Pagentan,Kakao,2020,0
Pagentan,Tebu,2020,0
Pagentan,Teh,2020,34.25
Pagentan,Tembakau,2020,96
Pagentan,Kelapa Sawit,2021,0
Pagentan,Kelapa Dalam,2021,47.08
Pagentan,Karet,2021,0
Pagentan,Kopi Robusta,2021,50.29
Pagentan,Kakao,2021,0
Pagentan,Tebu,2021,0
Pagentan,Teh,2021,34.25
Pagentan,Tembakau,2021,102
Pagentan,Kopi Arabica,2021,114.26
Pagentan,Kelapa Sawit,2022,0
Pagentan,Kelapa Dalam,2022,47.08
Pagentan,Karet,2022,0
Pagentan,Kopi Robusta,2022,50.29
Pagentan,Kakao,2022,0
Pagentan,Tebu,2022,0
Pagentan,Teh,2022,34.25
Pagentan,Tembakau,2022,42
