Kecamatan,Jenis,Tahun,Nilai,Catatan
Wanadadi,Sapi/Kerbau,2021,368,Sumber tidak memisahkan kulit (lembar) vs susu (liter)
Wanadadi,Kambing/Domba,2021,225,Sumber tidak memisahkan kulit (lembar) vs susu (liter)
Wanadadi,Sapi/Kerbau,2022,353,Sumber tidak memisahkan kulit (lembar) vs susu (liter)
Wanadadi,Kambing/Domba,2022,240,Sumber tidak memisahkan kulit (lembar) vs susu (liter)
Wanadadi,Sapi/Kerbau,2023,361,Sumber tidak memisahkan kulit (lembar) vs susu (liter)
Wanadadi,Kambing/Domba,2023,228,Sumber tidak memisahkan kulit (lembar) vs susu (liter)
Wanadadi,Sapi/Kerbau,2024,162,Sumber tidak memisahkan kulit (lembar) vs susu (liter)
Wanadadi,Kambing/Domba,2024,93,Sumber tidak memisahkan kulit (lembar) vs susu (liter)
Wanayasa,Sapi/Kerbau,2018,1114,Sumber tidak memisahkan kulit (lembar) vs susu (liter)
Wanayasa,Kambing/Domba,2018,962,Sumber tidak memisahkan kulit (lembar) vs susu (liter)
Wanayasa,Sapi/Kerbau,2020,1170,Sumber tidak memisahkan kulit (lembar) vs susu (liter)
Wanayasa,Kambing/Domba,2020,930,Sumber tidak memisahkan kulit (lembar) vs susu (liter)
Wanayasa,Sapi/Kerbau,2021,1340,Sumber tidak memisahkan kulit (lembar) vs susu (liter)
Wanayasa,Kambing/Domba,2021,976,Sumber tidak memisahkan kulit (lembar) vs susu (liter)
Wanayasa,Sapi/Kerbau,2022,1312,Sumber tidak memisahkan kulit (lembar) vs susu (liter)
Wanayasa,Kambing/Domba,2022,994,Sumber tidak memisahkan kulit (lembar) vs susu (liter)
Wanayasa,Sapi/Kerbau,2023,1340,Sumber tidak memisahkan kulit (lembar) vs susu (liter)
Wanayasa,Kambing/Domba,2023,946,Sumber tidak memisahkan kulit (lembar) vs susu (liter)
Wanayasa,Sapi/Kerbau,2024,592,Sumber tidak memisahkan kulit (lembar) vs susu (liter)
Wanayasa,Kambing/Domba,2024,390,Sumber tidak memisahkan kulit (lembar) vs susu (liter)
