Kelompok,Komoditas,Tahun,Nilai,Satuan
buah_sayuran_tahunan,Belimbing,2021,246,ton
buah_sayuran_tahunan,Duku,2021,2499.2,ton
buah_sayuran_tahunan,Durian,2021,6736.3,ton
buah_sayuran_tahunan,Jambu Biji,2021,4061.7,ton
buah_sayuran_tahunan,Jambu Air,2021,799.5,ton
buah_sayuran_tahunan,Jeruk Siam,2021,242.1,ton
buah_sayuran_tahunan,Jeruk (Tangerine + Pomelo),2021,0,ton
buah_sayuran_tahunan,Mangga,2021,2486.4,ton
buah_sayuran_tahunan,Manggis,2021,925.5,ton
buah_sayuran_tahunan,Nangka,2021,10046.7,ton
buah_sayuran_tahunan,Nenas,2021,189,ton
buah_sayuran_tahunan,Pepaya,2021,26445.3,ton
buah_sayuran_tahunan,Pisang,2021,25614,ton
buah_sayuran_tahunan,Rambutan,2021,4487.9,ton
buah_sayuran_tahunan,Salak,2021,360212.6,ton
buah_sayuran_tahunan,Sawo,2021,193.4,ton
buah_sayuran_tahunan,Markisa,2021,0,ton
buah_sayuran_tahunan,Sirsak,2021,237.4,ton
buah_sayuran_tahunan,Sukun,2021,509.9,ton
buah_sayuran_tahunan,Melinjo,2021,1044.8,ton
buah_sayuran_tahunan,Petai,2021,3627.4,ton
tanaman_hias,Agloenema,2021,180,tangkai
tanaman_hias,Anthurium Daun,2021,21,tangkai
tanaman_hias,Caladium,2021,0,tangkai
tanaman_hias,Pakis,2021,1,tangkai
tanaman_hias,Sansievera Pedang-Pedangan,2021,47,tangkai
tanaman_hias,Soka,2021,80,tangkai
tanaman_hias,Krisan,2021,0,tangkai
tanaman_hias,Mawar,2021,0,tangkai
tanaman_hias,Melati,2021,88,tangkai
tanaman_hias,Palem,2021,84,tangkai
tanaman_hias,Pisang-pisangan,2021,0,tangkai
tanaman_hias,Sedap Malam,2021,0,tangkai
biofarmaka,Dringo,2021,0,tangkai
biofarmaka,Jahe,2021,505470,tangkai
biofarmaka,Kapulaga,2021,20558,tangkai
biofarmaka,Kencur,2021,115540,tangkai
biofarmaka,Kunyit,2021,132536,tangkai
biofarmaka,Laos,2021,101105,tangkai
biofarmaka,Lempuyang,2021,4940,tangkai
biofarmaka,Lidah Buaya,2021,0,tangkai
biofarmaka,Mengkudu,2021,73080,tangkai
biofarmaka,Temuireng,2021,0,tangkai
biofarmaka,Temukunci,2021,0,tangkai
biofarmaka,Temulawak,2021,0,tangkai
biofarmaka,Sambiloto,2021,0,tangkai
sayuran_buah_semusim,Bawang Daun,2022,18196.3,ton
sayuran_buah_semusim,Bawang Merah,2022,45,ton
sayuran_buah_semusim,Bawang Putih,2022,0,ton
sayuran_buah_semusim,Bayam,2022,0,ton
sayuran_buah_semusim,Buncis,2022,4981.2,ton
sayuran_buah_semusim,Cabai Besar,2022,25444.1,ton
sayuran_buah_semusim,Cabai Rawit,2022,10346.9,ton
sayuran_buah_semusim,Cabai,2022,0,ton
sayuran_buah_semusim,Jamur,2022,5306.3,ton
sayuran_buah_semusim,Kacang Merah,2022,345,ton
sayuran_buah_semusim,Kacang Panjang,2022,2307.2,ton
sayuran_buah_semusim,Kangkung,2022,778.8,ton
sayuran_buah_semusim,Kembang Kol,2022,0,ton
sayuran_buah_semusim,Kentang,2022,131087,ton
sayuran_buah_semusim,Ketimun,2022,510.6,ton
sayuran_buah_semusim,Kubis,2022,48510.5,ton
sayuran_buah_semusim,Labu Siam,2022,3433.2,ton
sayuran_buah_semusim,Lobak,2022,0,ton
sayuran_buah_semusim,Petsai,2022,6357.3,ton
sayuran_buah_semusim,Terung,2022,4072.8,ton
sayuran_buah_semusim,Tomat,2022,12064.9,ton
sayuran_buah_semusim,Wortel,2022,63146.5,ton
sayuran_buah_semusim,Blewah,2022,0,ton
sayuran_buah_semusim,Melon,2022,0,ton
sayuran_buah_semusim,Semangka,2022,0,ton
buah_sayuran_tahunan,Alpukat,2022,58.8,ton
buah_sayuran_tahunan,Belimbing,2022,55.3,ton
buah_sayuran_tahunan,Duku,2022,745.9,ton
buah_sayuran_tahunan,Durian,2022,12298.3,ton
buah_sayuran_tahunan,Jambu Biji,2022,2225.1,ton
buah_sayuran_tahunan,Jambu Air,2022,190.7,ton
buah_sayuran_tahunan,Jeruk Siam,2022,75.9,ton
buah_sayuran_tahunan,Jeruk Besa (Pomelo),2022,743.4,ton
buah_sayuran_tahunan,Jeruk (Tangerine + Pomelo),2022,0,ton
buah_sayuran_tahunan,Mangga,2022,2807.7,ton
buah_sayuran_tahunan,Manggis,2022,48.5,ton
buah_sayuran_tahunan,Nangka,2022,7744,ton
buah_sayuran_tahunan,Nenas,2022,71,ton
buah_sayuran_tahunan,Pepaya,2022,7149.5,ton
buah_sayuran_tahunan,Pisang,2022,30646.6,ton
buah_sayuran_tahunan,Rambutan,2022,1291.1,ton
buah_sayuran_tahunan,Salak,2022,230334.6,ton
buah_sayuran_tahunan,Sawo,2022,117.5,ton
buah_sayuran_tahunan,Markisa,2022,754.7,ton
buah_sayuran_tahunan,Sirsak,2022,143.4,ton
buah_sayuran_tahunan,Sukun,2022,134.9,ton
buah_sayuran_tahunan,Melinjo,2022,14512,ton
buah_sayuran_tahunan,Petai,2022,319292.9,ton
tanaman_hias,Agloenema,2022,98,tangkai
tanaman_hias,Anthurium Daun,2022,84,tangkai
tanaman_hias,Caladium,2022,10000,tangkai
tanaman_hias,Pakis,2022,2,tangkai
tanaman_hias,Sansievera Pedang-Pedangan,2022,30,tangkai
tanaman_hias,Soka,2022,0,tangkai
tanaman_hias,Krisan,2022,0,tangkai
tanaman_hias,Mawar,2022,0,tangkai
tanaman_hias,Melati,2022,140,tangkai
tanaman_hias,Palem,2022,61,tangkai
tanaman_hias,Pisang-pisangan,2022,0,tangkai
tanaman_hias,Sedap Malam,2022,0,tangkai
biofarmaka,Dringo,2022,71,tangkai
biofarmaka,Jahe,2022,703639,tangkai
biofarmaka,Kapulaga,2022,1583829,tangkai
biofarmaka,Kencur,2022,46128,tangkai
biofarmaka,Kunyit,2022,74848,tangkai
biofarmaka,Laos,2022,180078,tangkai
biofarmaka,Lempuyang,2022,4150,tangkai
biofarmaka,Lidah Buaya,2022,0,tangkai
biofarmaka,Mengkudu,2022,0,tangkai
biofarmaka,Temuireng,2022,0,tangkai
biofarmaka,Temukunci,2022,0,tangkai
biofarmaka,Temulawak,2022,0,tangkai
biofarmaka,Sambiloto,2022,8090,tangkai
sayuran_buah_semusim,Bawang Daun,2023,16151.2,ton
sayuran_buah_semusim,Bawang Merah,2023,52.31,ton
sayuran_buah_semusim,Bawang Putih,2023,3,ton
sayuran_buah_semusim,Bayam,2023,0,ton
sayuran_buah_semusim,Buncis,2023,3794.8,ton
sayuran_buah_semusim,Cabai Besar,2023,29276.81,ton
sayuran_buah_semusim,Cabai Rawit,2023,15495.32,ton
sayuran_buah_semusim,Cabai,2023,0,ton
sayuran_buah_semusim,Jamur,2023,265.28,ton
sayuran_buah_semusim,Kacang Merah,2023,0,ton
sayuran_buah_semusim,Kacang Panjang,2023,590.85,ton
sayuran_buah_semusim,Kangkung,2023,358.89,ton
sayuran_buah_semusim,Kembang Kol,2023,0,ton
sayuran_buah_semusim,Kentang,2023,84059.4,ton
sayuran_buah_semusim,Ketimun,2023,269,ton
sayuran_buah_semusim,Kubis,2023,46110.8,ton
sayuran_buah_semusim,Labu Siam,2023,3305.6,ton
sayuran_buah_semusim,Lobak,2023,0,ton
sayuran_buah_semusim,Petsai,2023,4394.6,ton
sayuran_buah_semusim,Terung,2023,2589.9,ton
sayuran_buah_semusim,Tomat,2023,15721.11,ton
sayuran_buah_semusim,Wortel,2023,51743.3,ton
sayuran_buah_semusim,Blewah,2023,0,ton
sayuran_buah_semusim,Melon,2023,0,ton
sayuran_buah_semusim,Semangka,2023,0,ton
buah_sayuran_tahunan,Alpukat,2023,803.03,ton
buah_sayuran_tahunan,Belimbing,2023,1.62,ton
buah_sayuran_tahunan,Duku,2023,125.54,ton
buah_sayuran_tahunan,Durian,2023,290092.81,ton
buah_sayuran_tahunan,Jambu Biji,2023,3940.8,ton
buah_sayuran_tahunan,Jambu Air,2023,735.45,ton
buah_sayuran_tahunan,Jeruk Siam,2023,2.35,ton
buah_sayuran_tahunan,Jeruk Besa (Pomelo),2023,25.96,ton
buah_sayuran_tahunan,Jeruk (Tangerine + Pomelo),2023,0,ton
buah_sayuran_tahunan,Mangga,2023,1575.1,ton
buah_sayuran_tahunan,Manggis,2023,40.16,ton
buah_sayuran_tahunan,Nangka,2023,539.13,ton
buah_sayuran_tahunan,Nenas,2023,18.68,ton
buah_sayuran_tahunan,Pepaya,2023,4500.14,ton
buah_sayuran_tahunan,Pisang,2023,36129.99,ton
buah_sayuran_tahunan,Rambutan,2023,800.48,ton
buah_sayuran_tahunan,Salak,2023,1816886.39,ton
buah_sayuran_tahunan,Sawo,2023,72.03,ton
buah_sayuran_tahunan,Markisa,2023,0,ton
buah_sayuran_tahunan,Sirsak,2023,33.81,ton
buah_sayuran_tahunan,Sukun,2023,8.9,ton
buah_sayuran_tahunan,Melinjo,2023,751.24,ton
buah_sayuran_tahunan,Petai,2023,2157314.91,ton
tanaman_hias,Agloenema,2023,69,tangkai
tanaman_hias,Anthurium Daun,2023,0,tangkai
tanaman_hias,Caladium,2023,0,tangkai
tanaman_hias,Pakis,2023,0,tangkai
tanaman_hias,Sansievera Pedang-Pedangan,2023,13,tangkai
tanaman_hias,Soka,2023,0,tangkai
tanaman_hias,Krisan,2023,0,tangkai
tanaman_hias,Mawar,2023,0,tangkai
tanaman_hias,Melati,2023,0,tangkai
tanaman_hias,Palem,2023,44,tangkai
tanaman_hias,Pisang-pisangan,2023,0,tangkai
tanaman_hias,Sedap Malam,2023,0,tangkai
biofarmaka,Dringo,2023,0,tangkai
biofarmaka,Jahe,2023,79495,tangkai
biofarmaka,Kapulaga,2023,510119,tangkai
biofarmaka,Kencur,2023,86707,tangkai
biofarmaka,Kunyit,2023,21967,tangkai
biofarmaka,Laos,2023,10556,tangkai
