Kecamatan,Kelompok,Komoditas,Tahun,Nilai,Satuan
Banjarnegara,sayuran,Bawang Putih,2020,0,ton
Banjarnegara,sayuran,Cabai Rawit,2020,0,ton
Banjarnegara,buah_tahunan,Mangga,2020,11.9,ton
Banjarnegara,buah_tahunan,Durian,2020,28,ton
Banjarnegara,buah_tahunan,Jeruk Besar,2020,0,ton
Banjarnegara,buah_tahunan,Pisang,2020,48.3,ton
Banjarnegara,buah_tahunan,Pepaya,2020,23.1,ton
Banjarnegara,buah_tahunan,Salak,2020,2880.5,ton
Banjarnegara,buah_tahunan,Jeruk Siam,2020,0,ton
Banjarnegara,tanaman_hias,Agloenema,2020,0,tangkai
Banjarnegara,tanaman_hias,Krisan,2020,0,tangkai
Banjarnegara,tanaman_hias,Mawar,2020,0,tangkai
Banjarnegara,tanaman_hias,Soka,2020,0,tangkai
Banjarnegara,biofarmaka,Jahe,2020,0,tangkai
Banjarnegara,biofarmaka,Laos,2020,17500,tangkai
Banjarnegara,biofarmaka,Kencur,2020,0,tangkai
Banjarnegara,biofarmaka,Kunyit,2020,10000,tangkai
Banjarnegara,sayuran,Bawang Merah,2021,0,ton
Banjarnegara,sayuran,Cabai Besar,2021,0,ton
Banjarnegara,sayuran,Kentang,2021,0,ton
Banjarnegara,sayuran,Kubis,2021,0,ton
Banjarnegara,sayuran,Petsai,2021,0,ton
Banjarnegara,sayuran,Tomat,2021,0,ton
Banjarnegara,sayuran,Bawang Putih,2021,0,ton
Banjarnegara,sayuran,Cabai Rawit,2021,0,ton
Banjarnegara,buah_tahunan,Mangga,2021,2,ton
Banjarnegara,buah_tahunan,Durian,2021,19,ton
Banjarnegara,buah_tahunan,Jeruk Besar,2021,0,ton
Banjarnegara,buah_tahunan,Pisang,2021,46.5,ton
Banjarnegara,buah_tahunan,Pepaya,2021,13.9,ton
Banjarnegara,buah_tahunan,Salak,2021,8620,ton
Banjarnegara,buah_tahunan,Jeruk Siam,2021,0,ton
Banjarnegara,tanaman_hias,Agloenema,2021,0,tangkai
Banjarnegara,tanaman_hias,Krisan,2021,0,tangkai
Banjarnegara,tanaman_hias,Mawar,2021,0,tangkai
Banjarnegara,tanaman_hias,Soka,2021,0,tangkai
Banjarnegara,biofarmaka,Jahe,2021,0,tangkai
Banjarnegara,biofarmaka,Laos,2021,4000,tangkai
Banjarnegara,biofarmaka,Kencur,2021,0,tangkai
Banjarnegara,biofarmaka,Kunyit,2021,4000,tangkai
Banjarnegara,sayuran,Bawang Merah,2022,0,ton
Banjarnegara,sayuran,Cabai Besar,2022,0,ton
Banjarnegara,sayuran,Kentang,2022,0,ton
Banjarnegara,sayuran,Kubis,2022,0,ton
Banjarnegara,sayuran,Petsai,2022,0,ton
Banjarnegara,sayuran,Tomat,2022,0,ton
Banjarnegara,sayuran,Bawang Putih,2022,0,ton
Banjarnegara,sayuran,Cabai Rawit,2022,0,ton
Banjarnegara,buah_tahunan,Mangga,2022,0,ton
Banjarnegara,buah_tahunan,Durian,2022,21.8,ton
Banjarnegara,buah_tahunan,Jeruk Besar,2022,0,ton
Banjarnegara,buah_tahunan,Pisang,2022,173.6,ton
Banjarnegara,buah_tahunan,Pepaya,2022,8,ton
Banjarnegara,buah_tahunan,Salak,2022,5798.3,ton
Banjarnegara,buah_tahunan,Jeruk Siam,2022,5.9,ton
Banjarnegara,tanaman_hias,Agloenema,2022,0,tangkai
Banjarnegara,tanaman_hias,Krisan,2022,0,tangkai
Banjarnegara,tanaman_hias,Mawar,2022,0,tangkai
Banjarnegara,tanaman_hias,Soka,2022,0,tangkai
Banjarnegara,biofarmaka,Jahe,2022,1050,tangkai
Banjarnegara,biofarmaka,Laos,2022,1600,tangkai
Banjarnegara,biofarmaka,Kencur,2022,0,tangkai
Banjarnegara,biofarmaka,Kunyit,2022,2150,tangkai
Banjarnegara,sayuran,Bawang Merah,2023,0,ton
Banjarnegara,sayuran,Cabai Besar,2023,0,ton
Banjarnegara,sayuran,Kentang,2023,0,ton
Banjarnegara,sayuran,Kubis,2023,0,ton
Banjarnegara,sayuran,Petsai,2023,0,ton
Banjarnegara,sayuran,Tomat,2023,0,ton
Banjarnegara,sayuran,Bawang Putih,2023,0,ton
Banjarnegara,sayuran,Cabai Rawit,2023,1.32,ton
Banjarnegara,buah_tahunan,Mangga,2023,0,ton
Banjarnegara,buah_tahunan,Durian,2023,54.75,ton
Banjarnegara,buah_tahunan,Pisang,2023,42.4,ton
Banjarnegara,buah_tahunan,Pepaya,2023,7.92,ton
Banjarnegara,buah_tahunan,Salak,2023,2133.5,ton
Banjarnegara,buah_tahunan,Jeruk Siam,2023,1.9,ton
Banjarnegara,tanaman_hias,Agloenema,2023,0,tangkai
Banjarnegara,tanaman_hias,Krisan,2023,0,tangkai
Banjarnegara,tanaman_hias,Mawar,2023,0,tangkai
Banjarnegara,tanaman_hias,Soka,2023,0,tangkai
Banjarnegara,biofarmaka,Jahe,2023,9700,tangkai
Banjarnegara,biofarmaka,Laos,2023,2690,tangkai
Banjarnegara,biofarmaka,Kencur,2023,0,tangkai
Banjarnegara,biofarmaka,Kunyit,2023,5200,tangkai
Banjarnegara,sayuran,Bawang Merah,2024,0,ton
Banjarnegara,sayuran,Cabai Besar,2024,0,ton
Banjarnegara,sayuran,Kentang,2024,0,ton
Banjarnegara,sayuran,Kubis,2024,0,ton
Banjarnegara,sayuran,Petsai,2024,0,ton
Banjarnegara,sayuran,Tomat,2024,0,ton
Banjarnegara,sayuran,Bawang Putih,2024,0,ton
Banjarnegara,sayuran,Cabai Rawit,2024,3.7,ton
Banjarnegara,buah_tahunan,Mangga,2024,0,ton
Banjarnegara,buah_tahunan,Durian,2024,60,ton
Banjarnegara,buah_tahunan,Jeruk Besar,2024,0,ton
Banjarnegara,buah_tahunan,Pisang,2024,68.5,ton
Banjarnegara,buah_tahunan,Pepaya,2024,5.2,ton
Banjarnegara,buah_tahunan,Salak,2024,2494.68,ton
Banjarnegara,buah_tahunan,Jeruk Siam,2024,4,ton
Banjarnegara,tanaman_hias,Agloenema,2024,0,tangkai
Banjarnegara,tanaman_hias,Krisan,2024,0,tangkai
Banjarnegara,tanaman_hias,Mawar,2024,0,tangkai
Banjarnegara,tanaman_hias,Soka,2024,0,tangkai
Banjarnegara,biofarmaka,Jahe,2024,4700,tangkai
Banjarnegara,biofarmaka,Laos,2024,600,tangkai
