Kecamatan,Kelompok,Komoditas,Tahun,Nilai,Satuan
Batur,biofarmaka,Kencur,2024,0,m2
Batur,biofarmaka,Kunyit,2024,0,m2
Bawang,sayuran,Bawang Merah,2017,0,ha
Bawang,sayuran,Cabai Besar,2017,0,ha
Bawang,sayuran,Kentang,2017,0,ha
Bawang,sayuran,Kubis,2017,0,ha
Bawang,sayuran,Petsai,2017,0,ha
Bawang,sayuran,Tomat,2017,17,ha
Bawang,sayuran,Bawang Putih,2017,0,ha
Bawang,sayuran,Cabai Rawit,2017,0,ha
Bawang,sayuran,Bawang Merah,2018,0,ha
Bawang,sayuran,Cabai Besar,2018,75,ha
Bawang,sayuran,Kentang,2018,0,ha
Bawang,sayuran,Kubis,2018,0,ha
Bawang,sayuran,Petsai,2018,0,ha
Bawang,sayuran,Tomat,2018,33,ha
Bawang,sayuran,Bawang Putih,2018,0,ha
Bawang,sayuran,Cabai Rawit,2018,59,ha
Bawang,sayuran,Bawang Merah,2019,1,ha
Bawang,sayuran,Cabai Besar,2019,99,ha
Bawang,sayuran,Kentang,2019,0,ha
Bawang,sayuran,Kubis,2019,0,ha
Bawang,sayuran,Petsai,2019,0,ha
Bawang,sayuran,Tomat,2019,36,ha
Bawang,sayuran,Bawang Putih,2019,0,ha
Bawang,sayuran,Cabai Rawit,2019,210,ha
Bawang,tanaman_hias,Agloenema,2019,0,m2
Bawang,tanaman_hias,Krisan,2019,0,m2
Bawang,tanaman_hias,Mawar,2019,0,m2
Bawang,tanaman_hias,Soka,2019,0,m2
Bawang,biofarmaka,Jahe,2019,150000,m2
Bawang,biofarmaka,Laos,2019,25000,m2
Bawang,biofarmaka,Kencur,2019,80000,m2
Bawang,biofarmaka,Kunyit,2019,60000,m2
Bawang,sayuran,Bawang Merah,2020,7,ha
Bawang,sayuran,Cabai Besar,2020,72,ha
Bawang,sayuran,Kentang,2020,0,ha
Bawang,sayuran,Kubis,2020,0,ha
Bawang,sayuran,Petsai,2020,0,ha
Bawang,sayuran,Tomat,2020,39,ha
Bawang,sayuran,Bawang Putih,2020,0,ha
Bawang,sayuran,Cabai Rawit,2020,108,ha
Bawang,tanaman_hias,Agloenema,2020,0,m2
Bawang,tanaman_hias,Krisan,2020,0,m2
Bawang,tanaman_hias,Mawar,2020,0,m2
Bawang,tanaman_hias,Soka,2020,0,m2
Bawang,biofarmaka,Jahe,2020,0,m2
Bawang,biofarmaka,Laos,2020,0,m2
Bawang,biofarmaka,Kencur,2020,60000,m2
Bawang,biofarmaka,Kunyit,2020,40000,m2
Bawang,sayuran,Bawang Merah,2021,0,ha
Bawang,sayuran,Cabai Besar,2021,111,ha
Bawang,sayuran,Kentang,2021,0,ha
Bawang,sayuran,Kubis,2021,0,ha
Bawang,sayuran,Petsai,2021,0,ha
Bawang,sayuran,Tomat,2021,40,ha
Bawang,sayuran,Bawang Putih,2021,0,ha
Bawang,sayuran,Cabai Rawit,2021,71,ha
Bawang,tanaman_hias,Agloenema,2021,0,m2
Bawang,tanaman_hias,Krisan,2021,0,m2
Bawang,tanaman_hias,Mawar,2021,0,m2
Bawang,tanaman_hias,Soka,2021,0,m2
Bawang,biofarmaka,Jahe,2021,130000,m2
Bawang,biofarmaka,Laos,2021,17000,m2
Bawang,biofarmaka,Kencur,2021,60000,m2
Bawang,biofarmaka,Kunyit,2021,40000,m2
Bawang,sayuran,Bawang Merah,2022,0,ha
Bawang,sayuran,Cabai Besar,2022,178,ha
Bawang,sayuran,Kentang,2022,0,ha
Bawang,sayuran,Kubis,2022,0,ha
Bawang,sayuran,Petsai,2022,0,ha
Bawang,sayuran,Tomat,2022,17,ha
Bawang,sayuran,Bawang Putih,2022,0,ha
Bawang,sayuran,Cabai Rawit,2022,143,ha
Bawang,tanaman_hias,Agloenema,2022,0,m2
Bawang,tanaman_hias,Krisan,2022,0,m2
Bawang,tanaman_hias,Mawar,2022,0,m2
Bawang,tanaman_hias,Soka,2022,0,m2
Bawang,biofarmaka,Jahe,2022,140000,m2
Bawang,biofarmaka,Laos,2022,93500,m2
Bawang,biofarmaka,Kencur,2022,40000,m2
Bawang,biofarmaka,Kunyit,2022,50000,m2
Bawang,sayuran,Cabai Besar,2023,142,ha
Bawang,sayuran,Kentang,2023,0,ha
Bawang,sayuran,Tomat,2023,12,ha
Bawang,sayuran,Bawang Putih,2023,0,ha
Bawang,sayuran,Cabai Rawit,2023,178,ha
Bawang,tanaman_hias,Agloenema,2023,0,m2
Bawang,tanaman_hias,Krisan,2023,0,m2
Bawang,tanaman_hias,Mawar,2023,0,m2
Bawang,tanaman_hias,Soka,2023,0,m2
Bawang,biofarmaka,Jahe,2023,0,m2
Bawang,biofarmaka,Laos,2023,0,m2
Bawang,biofarmaka,Kencur,2023,45000,m2
Bawang,biofarmaka,Kunyit,2023,0,m2
Bawang,sayuran,Bawang Merah,2024,0,ha
Bawang,sayuran,Cabai Besar,2024,198,ha
Bawang,sayuran,Kentang,2024,0,ha
Bawang,sayuran,Kubis,2024,0,ha
Bawang,sayuran,Petsai,2024,0,ha
Bawang,sayuran,Tomat,2024,18,ha
Bawang,sayuran,Bawang Putih,2024,0,ha
Bawang,sayuran,Cabai Rawit,2024,430,ha
Bawang,tanaman_hias,Mawar,2024,0,m2
Bawang,tanaman_hias,Soka,2024,0,m2
Bawang,biofarmaka,Jahe,2024,0,m2
Bawang,biofarmaka,Laos,2024,0,m2
Bawang,biofarmaka,Kencur,2024,0,m2
Bawang,biofarmaka,Kunyit,2024,0,m2
Kalibening,sayuran,Bawang Merah,2017,0,ha
Kalibening,sayuran,Cabai Besar,2017,0,ha
Kalibening,sayuran,Kentang,2017,21,ha
Kalibening,sayuran,Kubis,2017,101,ha
Kalibening,sayuran,Petsai,2017,0,ha
Kalibening,sayuran,Tomat,2017,20,ha
Kalibening,sayuran,Bawang Putih,2017,0,ha
Kalibening,sayuran,Cabai Rawit,2017,0,ha
Kalibening,sayuran,Bawang Merah,2018,0,ha
