Kecamatan,Jenis Budidaya,Tahun,Produksi (Kg),Nilai (Ribu Rp)
Wanayasa,Karamba Jaring Apung,2019,0,0
Wanayasa,Minapadi Tumpang Sari,2019,0,0
Wanayasa,Pembesaran,2020,1053815.53,23553034.84
Wanayasa,Karamba Jaring Apung,2020,0,0
Wanayasa,Minapadi Tumpang Sari,2020,0,0
Wanayasa,Pembesaran,2021,1149385.61,24501268.27
Wanayasa,Karamba Jaring Apung,2021,0,0
Wanayasa,Minapadi Tumpang Sari,2021,0,0
Wanayasa,Pembesaran,2022,1232476.16,27879413.75
Wanayasa,Pembesaran,2023,1240822,27277314.39
Wanayasa,Karamba Jaring Apung,2023,0,0
Wanayasa,Minapadi Tumpang Sari,2023,0,0
Wanayasa,Pembesaran,2024,1232139.55,27285541.42
Wanayasa,Karamba Jaring Apung,2024,0,0
Wanayasa,Minapadi Tumpang Sari,2024,0,0
