Kecamatan,Tanaman,Tahun,Produksi (Ton)
Karangkobar,Kakao,2019,0
Karangkobar,Tebu,2019,0
Karangkobar,Teh,2019,135.11
Karangkobar,Tembakau,2019,0
Karangkobar,Kelapa Sawit,2020,0
Karangkobar,Kelapa Dalam,2020,6.15
Karangkobar,Karet,2020,0
Karangkobar,Kopi Robusta,2020,209.66
Karangkobar,Kakao,2020,0
Karangkobar,Tebu,2020,0
Karangkobar,Teh,2020,142.12
Karangkobar,Tembakau,2020,0
Karangkobar,Kelapa Sawit,2021,0
Karangkobar,Kelapa Dalam,2021,4.72
Karangkobar,Karet,2021,0
Karangkobar,Kopi Robusta,2021,206.87
Karangkobar,Kakao,2021,0
Karangkobar,Tebu,2021,0
Karangkobar,Teh,2021,143.42
Karangkobar,Tembakau,2021,0.93
Karangkobar,Kelapa Sawit,2022,0
Karangkobar,Kelapa Dalam,2022,4.61
Karangkobar,Karet,2022,0
Karangkobar,Kopi Robusta,2022,181.54
Karangkobar,Kakao,2022,0
Karangkobar,Tebu,2022,0
Karangkobar,Teh,2022,147.89
Karangkobar,Tembakau,2022,0.93
Karangkobar,Kelapa Sawit,2023,0
Karangkobar,Kelapa Dalam,2023,1.02
Karangkobar,Karet,2023,0
Karangkobar,Kopi Robusta,2023,0
Karangkobar,Kakao,2023,0
Karangkobar,Tebu,2023,0
Karangkobar,Teh,2023,147.88
Karangkobar,Tembakau,2023,4.32
Karangkobar,Kelapa Sawit,2024,0
Karangkobar,Kelapa Dalam,2024,3.82
Karangkobar,Karet,2024,0
Karangkobar,Kopi Robusta,2024,352.35
Karangkobar,Kakao,2024,0
Karangkobar,Tebu,2024,0
Karangkobar,Teh,2024,295.77
Karangkobar,Tembakau,2024,3.78
Madukara,Kelapa Sawit,2017,0
Madukara,Karet,2017,0
Madukara,Tebu,2017,67.8
Madukara,Teh,2017,0
Madukara,Tembakau,2017,0
Madukara,Kelapa Sawit,2018,0
Madukara,Kelapa Dalam,2018,1144.45
Madukara,Karet,2018,0
Madukara,Kopi Robusta,2018,13.42
Madukara,Kakao,2018,0
Madukara,Tebu,2018,72
Madukara,Teh,2018,0
Madukara,Tembakau,2018,0
Madukara,Kelapa Sawit,2019,0
Madukara,Kelapa Dalam,2019,1257.52
Madukara,Karet,2019,0
Madukara,Kopi Robusta,2019,13.06
Madukara,Kakao,2019,0
Madukara,Tebu,2019,0
Madukara,Teh,2019,0
Madukara,Tembakau,2019,0
Madukara,Kelapa Sawit,2020,0
Madukara,Kelapa Dalam,2020,1262.84
Madukara,Karet,2020,0
Madukara,Kopi Robusta,2020,41.06
Madukara,Kakao,2020,0
Madukara,Tebu,2020,0
Madukara,Teh,2020,0
Madukara,Tembakau,2020,0
Madukara,Kelapa Sawit,2021,0
Madukara,Kelapa Dalam,2021,1359.79
Madukara,Karet,2021,0
Madukara,Kopi Robusta,2021,42.09
Madukara,Kakao,2021,0
Madukara,Tebu,2021,0
Madukara,Teh,2021,0
Madukara,Tembakau,2021,0
Madukara,Kelapa Sawit,2022,0
Madukara,Kelapa Dalam,2022,1428.04
Madukara,Karet,2022,0
Madukara,Kopi Robusta,2022,42.57
Madukara,Kakao,2022,0
Madukara,Tebu,2022,0
Madukara,Teh,2022,0
Madukara,Tembakau,2022,0
Madukara,Kelapa Sawit,2023,0
Madukara,Kelapa Dalam,2023,1428.04
Madukara,Karet,2023,0
Madukara,Kopi Robusta,2023,31
Madukara,Kakao,2023,0
Madukara,Tebu,2023,0
Madukara,Teh,2023,0
Madukara,Tembakau,2023,0
Madukara,Kelapa Sawit,2024,0
Madukara,Kelapa Dalam,2024,1320.01
Madukara,Karet,2024,0
Madukara,Kopi Robusta,2024,60.73
Madukara,Kakao,2024,0
Madukara,Tebu,2024,0
Madukara,Teh,2024,0
Madukara,Tembakau,2024,0
Mandiraja,Kelapa Sawit,2017,0
Mandiraja,Karet,2017,1.67
Mandiraja,Tebu,2017,0
Mandiraja,Teh,2017,0
Mandiraja,Tembakau,2017,0
Mandiraja,Kelapa Sawit,2018,0
Mandiraja,Kelapa Dalam,2018,458.54
Mandiraja,Karet,2018,0.1
Mandiraja,Kopi Robusta,2018,6.43
Mandiraja,Kakao,2018,0
Mandiraja,Tebu,2018,0
Mandiraja,Teh,2018,0
Mandiraja,Tembakau,2018,0
Mandiraja,Kelapa Sawit,2019,0
Mandiraja,Kelapa Dalam,2019,468.22
Mandiraja,Karet,2019,0
Mandiraja,Kopi Robusta,2019,9.36
Mandiraja,Kakao,2019,0
